好 花 不 常 開　
1.0 0.3 0.3 0.3 0.3 
好 景 不 常 在
1.0 0.3 0.3 0.3 0.3 
愁 堆 解 笑 眉　
1.0 0.3 0.3 0.3 0.3 
淚 灑 相 思 帶
1.0 0.3 0.3 0.3 0.3 
今 宵 離 別 後　
1.0 0.3 0.3 0.3 0.3 
何 日 君 再 來
1.0 0.3 0.3 0.3 0.3 
喝 完 了 這 杯　
1.0 0.3 0.3 0.3 0.3 
請 進 點 小 菜
1.0 0.3 0.3 0.3 0.3 
人 生 難 得 幾 回 醉
1.0 0.3 0.3 0.3 0.3 0.3 2.6 
不 歡 更 何 待
1.0 0.3 0.3 0.3 0.3 
今 宵 離 別 後　
1.0 0.3 0.3 0.3 0.3 
何 日 君 再 來
1.0 0.3 0.3 0.3 0.3 
停 唱 陽 關 疊　
1.0 0.3 0.3 0.3 0.3 
重 擎 白 玉 杯
1.0 0.3 0.3 0.3 0.3 
慇 勤 頻 致 語　
1.0 0.3 0.3 0.3 0.3 
牢 牢 撫 君 懷
1.0 0.3 0.3 0.3 0.3 
今 宵 離 別 後　
1.0 0.3 0.3 0.3 0.3 
何 日 君 再 來
1.0 0.3 0.3 0.3 0.3 
