剖 開 胸 膛 我 讓 心 在 烈 日 底 下 燒
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
燒 成 記 號 記 你 的 好 永 遠 別 忘 掉
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
頭 破 血 流 也 要 護 你 到 天 涯 海 角
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
愛 一 個 字 我 敢 用 一 輩 子 來 回 報
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
地 多 大 天 多 高 一 生 只 換 一 聲 好
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
這 一 生 這 一 秒 我 只 要 求 你 知 道
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
冰 天 雪 地 我 把 冰 水 全 往 頭 上 澆
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
澆 熄 思 念 最 后 一 處 溫 暖 的 懷 抱
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
你 為 了 誰 寧 愿 讓 心 變 成 了 孤 島
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
敞 開 雙 手 不 依 不 靠 從 此 隨 風 飄
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
地 多 大 天 多 高 一 生 只 換 一 聲 好
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
這 一 生 這 一 秒 我 只 要 求 你 知 道
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
地 多 大 天 多 高 一 生 只 換 一 聲 好
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
這 一 生 這 一 秒 我 只 要 求 你 知 道
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
地 多 大 天 多 高 一 生 只 換 一 聲 好
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
這 一 生 這 一 秒 我 只 要 求 你 知 道
0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 1.4 
