剖 開 胸 膛 我 讓 心 在 烈 日 底 下 燒
57 57 59 61 64 61 59 57 54 54 56 57 61 
燒 成 記 號 記 你 的 好 永 遠 別 忘 掉
59 59 61 62 66 62 61 59 56 56 56 57 59 
頭 破 血 流 也 要 護 你 到 天 涯 海 角
57 57 59 61 64 61 59 57 54 54 56 57 61 
愛 一 個 字 我 敢 用 一 輩 子 來 回 報
59 59 61 62 66 62 61 59 56 56 56 57 64 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
57 59 64 57 59 64 61 64 66 66 66 64 61 
地 多 大 天 多 高 一 生 只 換 一 聲 好
59 61 66 59 61 66 59 61 66 64 61 64 59 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
57 59 64 57 59 64 61 64 66 66 66 64 61 
這 一 生 這 一 秒 我 只 要 求 你 知 道
59 61 66 59 61 57 54 57 59 61 54 59 57 
冰 天 雪 地 我 把 冰 水 全 往 頭 上 澆
57 57 59 61 64 61 59 57 54 54 56 57 61 
澆 熄 思 念 最 后 一 處 溫 暖 的 懷 抱
59 59 61 62 66 62 61 59 56 56 56 57 59 
你 為 了 誰 寧 愿 讓 心 變 成 了 孤 島
57 57 59 61 64 61 59 57 54 54 56 57 61 
敞 開 雙 手 不 依 不 靠 從 此 隨 風 飄
59 59 61 62 66 62 61 59 56 56 56 57 64 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
57 59 64 57 59 64 61 64 66 66 66 64 61 
地 多 大 天 多 高 一 生 只 換 一 聲 好
59 61 66 59 61 66 59 61 66 64 61 64 59 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
57 59 64 57 59 64 61 64 66 66 66 64 61 
這 一 生 這 一 秒 我 只 要 求 你 知 道
59 61 66 59 61 57 54 57 59 61 54 59 57 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
58 60 65 58 60 65 62 65 67 67 67 65 62 
地 多 大 天 多 高 一 生 只 換 一 聲 好
60 62 67 60 62 67 60 62 67 65 62 65 60 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
58 60 65 58 60 65 62 65 67 67 67 65 62 
這 一 生 這 一 秒 我 只 要 求 你 知 道
60 62 67 60 62 58 55 58 60 62 55 60 58 
狂 風 吹 大 海 嘯 真 心 的 人 死 不 了
58 60 65 58 60 65 62 65 67 67 67 65 62 
地 多 大 天 多 高 一 生 只 換 一 聲 好
60 62 67 60 62 67 60 62 67 65 62 65 60 
痛 快 哭 痛 快 笑 痛 快 的 痛 死 不 了
58 60 65 58 60 65 62 65 67 67 67 65 62 
這 一 生 這 一 秒 我 只 要 求 你 知 道
60 62 67 60 62 58 55 58 60 62 55 60 58 
