I Believe	0.5 0.2
當 我 在 妳 家 門 口	0.5 0.2 0.7 0.2 0.2 0.5 0.2
下 雨 了	0.5 0.2 0.7
你 看 了 也 會 難 過	0.5 0.2 0.7 0.2 0.2 0.5 0.2
I Believe	0.5 0.2
妳 不 說 話 的 時 候	0.5 0.2 0.7 0.2 0.2 0.5 0.2
也 是 一 種	0.5 0.2 0.7 0.2
其 實 妳 在 回 應 我	0.5 0.2 0.7 0.2 0.2 0.5 0.2
雖 然 不 曾 說	0.5 0.2 0.7 0.2 0.2
相 信 妳 正 在 懂	0.5 0.2 0.7 0.2 0.2 0.5
就 算 牽 的 不 是 我 的 手	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5 0.5
我 不 真 的 難 過	0.5 0.2 0.7 0.2 0.2 0.5
不 知 道 在 高 興 什 麼	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
妳 的 笑 容	0.5 0.2 0.7 0.2
有 時 候 也 寧 可	0.5 0.2 0.7 0.2 0.2 0.5
當 作 妳 在 為 我 加 油	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
不 知 道 在 妄 想 什 麼	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
只 告 訴 自 己	0.5 0.2 0.7 0.2 0.2
I Believe	0.5 0.2
妳 總 會 看 到 我	0.5 0.2 0.7 0.2 0.2 0.5
在 某 個 時 候	0.5 0.2 0.7 0.2 0.2
想 讓 妳 陪 伴 的 是 我	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
I Believe	0.5 0.2
沒 有 回 應 的 時 候	0.5 0.2 0.7 0.2 0.2 0.5 0.2
只 不 過	0.5 0.2 0.7
正 好 妳 在 電 話 中	0.5 0.2 0.7 0.2 0.2 0.5 0.2
I Believe	0.5 0.2
語 音 信 箱 的 沉 默	0.5 0.2 0.7 0.2 0.2 0.5 0.2
也 是 一 種	0.5 0.2 0.7 0.2
其 實 妳 在 傾 聽 我	0.5 0.2 0.7 0.2 0.2 0.5 0.2
雖 然 不 曾 說	0.5 0.2 0.7 0.2 0.2
相 信 妳 正 在 懂	0.5 0.2 0.7 0.2 0.2 0.5
就 算 牽 的 不 是 我 的 手	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5 0.5
我 真 的 不 難 過	0.5 0.2 0.7 0.2 0.2 0.5
不 知 道 在 高 興 什 麼	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
妳 的 笑 容	0.5 0.2 0.7 0.2
有 時 候 也 寧 可	0.5 0.2 0.7 0.2 0.2 0.5
當 作 妳 在 為 我 加 油	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
不 知 道 在 妄 想 什 麼	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
只 告 訴 自 己	0.5 0.2 0.7 0.2 0.2
I Believe	0.5 0.2
妳 總 會 看 到 我	0.5 0.2 0.7 0.2 0.2 0.5
在 一 切 之 後	0.5 0.2 0.7 0.2 0.2
留 在 妳 身 邊 的 是 我	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
那 延 續 太 久 的 一 時 衝 動	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5 0.5 1.2
在 妳 身 後 的 獨 角 戲	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
聚 光 燈 沒 亮 過	0.5 0.2 0.7 0.2 0.2 0.5
懷 疑	0.5 0.2
是 自 己 編 造 的 內 容	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
妳 從 不 真 的 認 得 我	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
不 知 道 在 高 興 什 麼	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
妳 的 笑 容	0.5 0.2 0.7 0.2
有 時 候 也 寧 可	0.5 0.2 0.7 0.2 0.2 0.5
當 作 妳 在 為 我 加 油	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
不 知 道 在 妄 想 什 麼	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
只 告 訴 自 己	0.5 0.2 0.7 0.2 0.2
I Believe	0.5 0.2
一 定 會 有 結 果	0.5 0.2 0.7 0.2 0.2 0.5
在 很 久 以 後	0.5 0.2 0.7 0.2 0.2
留 在 妳 身 邊 的 是 我	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
會 陪 著 妳 的 人 是 我	0.5 0.2 0.7 0.2 0.2 0.5 0.2 0.5
我 以 為 要 是 唱 得 用 心 良 苦	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3 0.3 1.2
妳 總 會 對 我 多 點 在 乎	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3
我 以 為 雖 然 愛 情	0.3 0.3 0.6 0.3 0.3 0.6 0.6
已 成 往 事	0.3 0.3 0.6 0.3
千 言 萬 語 說 出 來 可 以 互 相 安 撫	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3 0.3 1.2 0.6 0.3
期 待 妳 感 動	0.3 0.3 0.6 0.3 0.3
真 實 的 我 們 難 相 處	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6
寫 詞 的 讓 我	0.3 0.3 0.6 0.3 0.3
唱 出 你 要 的 幸 福	0.3 0.3 0.6 0.3 0.3 0.6 0.6
誰 曾 經 感 動	0.3 0.3 0.6 0.3 0.3
分 手 的 關 頭 才 懂 得	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6
離 開 排 行 榜	0.3 0.3 0.6 0.3 0.3
更 銘 心 刻 骨	0.3 0.3 0.6 0.3 0.3
我 已 經 相 信	0.3 0.3 0.6 0.3 0.3
有 些 人 我 永 遠 不 必 等	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3
所 以 我 明 白	0.3 0.3 0.6 0.3 0.3
燈 火 闌 珊 處 為 什 麼 會 哭	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3 0.3
你 不 會 相 信	0.3 0.3 0.6 0.3 0.3
嫁 給 我 明 天 有 多 幸 福	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3
只 想 你 明 白	0.3 0.3 0.6 0.3 0.3
我 心 甘 情 願	0.3 0.3 0.6 0.3 0.3
愛 愛 愛 愛 到 要 吐	0.3 0.3 0.6 0.3 0.3 0.6 0.6
那 是 醉 生 夢 死	0.3 0.3 0.6 0.3 0.3 0.6
才 能 熬 成 的 苦	0.3 0.3 0.6 0.3 0.3 0.6
愛 如 潮 水	0.3 0.3 0.6 0.3
我 忘 了	0.3 0.3 0.6
我 是 誰	0.3 0.3 0.6
至 少 還 有	0.3 0.3 0.6 0.3
你 哭	0.3 0.3
我 想 唱 一 首 歌 給 我 們 祝 福	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3 0.3 1.2
唱 完 了 我 會 一 個 人 住	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3
我 願 意 試 著 了 解 從 此 以 後	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3 0.3 1.2
擁 擠 的 房 間 一 個 人 的 心 有 多 孤 獨	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3 0.3 1.2 0.6 0.3 0.3
我 已 經 相 信	0.3 0.3 0.6 0.3 0.3
有 些 人 我 永 遠 不 必 等	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3
所 以 我 明 白	0.3 0.3 0.6 0.3 0.3
燈 火 闌 珊 處 為 什 麼 會 哭	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3 0.3
你 不 會 相 信	0.3 0.3 0.6 0.3 0.3
嫁 給 我 明 天 有 多 幸 福	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6 0.3
只 想 你 明 白	0.3 0.3 0.6 0.3 0.3
我 心 甘 情 願	0.3 0.3 0.6 0.3 0.3
愛 愛 愛 愛 到 要 吐	0.3 0.3 0.6 0.3 0.3 0.6 0.6
讓 我	0.3 0.3
斷 了 氣	0.3 0.3 0.6
鐵 了 心	0.3 0.3 0.6
愛 的 過 火	0.3 0.3 0.6 0.3
一 回 頭 就 找 到 出 路	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6
讓 我	0.3 0.3
成 為 了	0.3 0.3 0.6
無 情 的	0.3 0.3 0.6
K 歌 之 王	0.3 0.3 0.6 0.3
麥 克 風 都 讓 我 征 服	0.3 0.3 0.6 0.3 0.3 0.6 0.6 0.6
想 不 到 妳	0.3 0.3 0.6 0.3
若 無 其 事 的	0.3 0.3 0.6 0.3 0.3
說 這 樣 濫 情 何 苦	0.3 0.3 0.6 0.3 0.3 0.6 0.6
誰 又 騎 著 那 鹿 車 飛 過	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5 0.9
忘 掉 投 下 那 禮 物 給 我	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5 0.9
凝 視 那 燈 飾	0.2 0.2 0.2 0.5 0.5
只 有 今 晚 最 光 最 亮	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
卻 照 亮 我 的 寂 寞	0.2 0.2 0.2 0.5 0.5 0.2 0.2
誰 又 能 善 心 親 一 親 我	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5 0.9
由 唇 上 來 驗 證 我 幸 福 過	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5 0.9 0.2
頭 上 那 飄 雪	0.2 0.2 0.2 0.5 0.5
想 要 棲 息 我 肩 膊 上	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
到 最 後 也 別 去 麼	0.2 0.2 0.2 0.5 0.5 0.2 0.2
Merry Merry Christmas	0.2 0.2 0.2
Lonely Lonely Christmas	0.2 0.2 0.2
人 浪 中 想 真 心 告 白	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
但 你 只 想 聽 聽 笑 話	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
Lonely Lonely Christmas	0.2 0.2 0.2
Merry Merry Christmas	0.2 0.2 0.2
明 日 燈 飾 必 須 拆 下	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
換 到 歡 呼 聲 不 過	0.2 0.2 0.2 0.5 0.5 0.2 0.2
一 剎	0.2 0.2
明 晨 遇 到	0.2 0.2 0.2 0.5
亦 記 不 到	0.2 0.2 0.2 0.5
和 誰 在 醉 酒 中 偷 偷 擁 抱	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5 0.9 0.2
仍 然 在 傻 笑	0.2 0.2 0.2 0.5 0.5
但 你 哪 知 道	0.2 0.2 0.2 0.5 0.5
我 想 哭	0.2 0.2 0.2
和 誰 撞 到	0.2 0.2 0.2 0.5
亦 怕 生 保	0.2 0.2 0.2 0.5
寧 願 在 醉 酒 中 辛 苦 嘔 吐	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5 0.9 0.2
仍 然 在 頭 痛	0.2 0.2 0.2 0.5 0.5
合 唱 的 詩 歌	0.2 0.2 0.2 0.5 0.5
聽 不 到	0.2 0.2 0.2
Merry Merry Christmas	0.2 0.2 0.2
Lonely Lonely Christmas	0.2 0.2 0.2
人 浪 中 想 真 心 告 白	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
但 你 只 想 聽 聽 笑 話	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
Lonely Lonely Christmas	0.2 0.2 0.2
Merry Merry Christmas	0.2 0.2 0.2
明 日 燈 飾 必 須 拆 下	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
換 到 歡 呼 聲 不 過	0.2 0.2 0.2 0.5 0.5 0.2 0.2
一 剎	0.2 0.2
Merry Merry Christmas	0.2 0.2 0.2
Lonely Lonely Christmas	0.2 0.2 0.2
人 浪 中 想 真 心 告 白	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
但 你 只 想 聽 聽 笑 話	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
Lonely Lonely Christmas	0.2 0.2 0.2
Merry Merry Christmas	0.2 0.2 0.2
明 日 燈 飾 必 須 拆 下	0.2 0.2 0.2 0.5 0.5 0.2 0.2 0.5
換 到 歡 呼 聲 不 過	0.2 0.2 0.2 0.5 0.5 0.2 0.2
一 剎	0.2 0.2
換 到 歡 呼 聲 不 過	0.2 0.2 0.2 0.5 0.5 0.2 0.2
一 剎	0.2 0.2
我 要 如 何	0.8 0.4 0.2 0.2
才 能 擁 抱 妳 呢	0.8 0.4 0.2 0.2 0.4 0.4
緊 緊 抱 著	0.8 0.4 0.2 0.2
我 吻 妳 妳 附 和	0.8 0.4 0.2 0.2 0.4 0.4
從 朋 友	0.8 0.4 0.2
晉 陞 情 人 角 色	0.8 0.4 0.2 0.2 0.4 0.4
從 苦 澀	0.8 0.4 0.2
轉 變 成 了 快 樂	0.8 0.4 0.2 0.2 0.4 0.4
把 鑰 匙 交 給 了 妳	0.8 0.4 0.2 0.2 0.4 0.4 0.1
妳 卻 轉 身 將 我 囚 禁	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5
在 一 扇 叫 做 等 待 的 門 裡	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5 0.4 0.4
妳 試 過	0.8 0.4 0.2
那 麼 多 心 的 鎖	0.8 0.4 0.2 0.2 0.4 0.4
怎 麼 就 不 來 開 啟	0.8 0.4 0.2 0.2 0.4 0.4 0.1
我 的 愛 情	0.8 0.4 0.2 0.2
Love you Love you May I love you	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5
Tell me what to do	0.8 0.4 0.2 0.2 0.4
能 讓 你 不 孤 單	0.8 0.4 0.2 0.2 0.4 0.4
我 不 孤 獨	0.8 0.4 0.2 0.2
一 起 找 幸 福	0.8 0.4 0.2 0.2 0.4
當 這 個 世 界 一 步 一 步 華 麗 到 荒 蕪	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5 0.4 0.4 0.2 0.2 1.7 0.4
請 放 心	0.8 0.4 0.2
我 還 是 妳 的 信 徒	0.8 0.4 0.2 0.2 0.4 0.4 0.1
Love you Love you May I love you	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5
Tell me you love me too	0.8 0.4 0.2 0.2 0.4 0.4
我 可 以 繼 續 付 出	0.8 0.4 0.2 0.2 0.4 0.4 0.1
付 出 就 夠 我 滿 足	0.8 0.4 0.2 0.2 0.4 0.4 0.1
不 相 信 愛 情 對 我	0.8 0.4 0.2 0.2 0.4 0.4 0.1
永 遠 殘 酷	0.8 0.4 0.2 0.2
我 奢 望	0.8 0.4 0.2
時 間 會 為 我 祝 福	0.8 0.4 0.2 0.2 0.4 0.4 0.1
看 著 我 這 樣 投 入	0.8 0.4 0.2 0.2 0.4 0.4 0.1
難 道 妳 都 沒 有 感 觸	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5
不 接 受 至 少 給 我 些 幫 助	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5 0.4 0.4
就 說 你 感 動 到 想 要 哭	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5 0.4
少 能 減 輕 一 點 我 的 痛 苦	0.8 0.4 0.2 0.2 0.4 0.4 0.1 0.5 0.4 0.4
回 望 在 暗 灰 的 國 度 裡	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8 1.9
沙 堆 擁 抱 身 軀 在 甜 睡	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8 1.9
徘 徊 在 染 污 的 窄 巷 裡	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8 1.9
空 氣 亦 漓 漫 點 生 趣	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
來 來 回 回 遠 近 聲 音	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
得 很 美 麗 嗎 聽 到 嗎	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar 放 聲 高 歌 可 以 嗎	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar 放 鬆 安 躺 可 以 吧	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
你 好 嗎 夢 想 終 可 走 近 嗎	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8 1.9 0.4
Namnsgar 放 開 生 活 的 牽 掛	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar 你 的 天 空 廣 闊 嗎	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar 你 的 天 在 腳 下	0.4 0.4 0.4 0.4 0.8 0.4 0.8
你 好 嗎 手 拖 手 延 續 愛 吧	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8 1.9 0.4
Namnsgar 簡 單 生 活 是 無 價	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
你 好 嗎 夢 想 終 可 走 近 嗎	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8 1.9 0.4
Namnsgar 簡 單 生 活 是 無 價	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar la la la la la la la	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar la la la la la la la	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar la la la la la la la	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
Namnsgar la la la la la la la	0.4 0.4 0.4 0.4 0.8 0.4 0.8 0.8
我 懷 念 有 一 年 的 夏 天	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9
一 場 大 雨 把 你 留 在 我 身 邊	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3 0.3
我 看 著 你 那 被 淋 濕 的 臉	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3
還 有 一 片 樹 葉 貼 在 頭 髮 上 面	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3 0.3 0.3
那 時 我 們 被 困 在 路 邊	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9
世 界 不 過 是 一 個 小 小 屋 簷	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3 0.3
你 說 如 果 雨 一 直 下 到 明 天	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3 0.3
我 們 就 廝 守 到 永 遠	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6
Rain	0.3
falling in my heart	0.3 0.3 0.3 0.3
你 的 聲 音 仍 然 深 印 我 心 田	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3 0.3
世 界 改 變	0.3 0.3 0.3 0.3
你 也 改 變 我 在 海 角 天 邊	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3
Rain	0.3
falling in my heart	0.3 0.3 0.3 0.3
你 的 諾 言 雖 然 沒 有 實 現	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3
愛 是 雨 點	0.3 0.3 0.3 0.3
落 在 昨 天 永 不 放 晴 的 纏 綿	0.3 0.3 0.3 0.3 0.3 0.6 0.3 0.6 0.9 0.3 0.3
即 使 不 相 識	0.1 0.1 0.1 0.1 0.2
不 分 彼 此 膚 色	0.1 0.1 0.1 0.1 0.2 0.0
不 管 高 矮 體 積	0.1 0.1 0.1 0.1 0.2 0.0
做 甚 麼 高 職	0.1 0.1 0.1 0.1 0.2
今 晚 出 擊 的 目 的	0.1 0.1 0.1 0.1 0.2 0.0 0.0
只 因 日 間 太 緊 迫	0.1 0.1 0.1 0.1 0.2 0.0 0.0
換 換 方 式	0.1 0.1 0.1 0.1
希 望 休 休 息	0.1 0.1 0.1 0.1 0.2
舒 舒 適	0.1 0.1 0.1
可 以 拍 翼	0.1 0.1 0.1 0.1
Ｘ 是 一 個 夢 幻	0.1 0.1 0.1 0.1 0.2 0.0
